lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_loss_epoch,valid_mse_epoch,valid_mae_epoch,valid_corr_nino3.4_epoch,valid_corr_nino3.4_weighted_epoch,valid_nino_rmse_epoch,test_mse_epoch,test_mae_epoch,test_corr_nino3.4_epoch,test_corr_nino3.4_weighted_epoch,test_nino_rmse_epoch
2.8216883672596128e-05,2.8216883672596128e-05,4616,,,,,,,,,,,,,
2.8216883672596128e-05,2.8216883672596128e-05,4616,,,,,,,,,,,,,
,,4616,0.0005124423187226057,5,,,,,,,,,,,
2.8712023962344887e-05,2.8712023962344887e-05,4697,,,,,,,,,,,,,
2.8712023962344887e-05,2.8712023962344887e-05,4697,,,,,,,,,,,,,
,,4697,0.0005063139251433313,5,,,,,,,,,,,
2.920716425209365e-05,2.920716425209365e-05,4778,,,,,,,,,,,,,
2.920716425209365e-05,2.920716425209365e-05,4778,,,,,,,,,,,,,
,,4778,0.0005009304150007665,5,,,,,,,,,,,
2.9702304541842412e-05,2.9702304541842412e-05,4859,,,,,,,,,,,,,
2.9702304541842412e-05,2.9702304541842412e-05,4859,,,,,,,,,,,,,
,,4859,0.00048422053805552423,5,,,,,,,,,,,
3.0197444831591178e-05,3.0197444831591178e-05,4940,,,,,,,,,,,,,
3.0197444831591178e-05,3.0197444831591178e-05,4940,,,,,,,,,,,,,
,,4940,0.0004576501087285578,6,,,,,,,,,,,
3.069258512133993e-05,3.069258512133993e-05,5021,,,,,,,,,,,,,
3.069258512133993e-05,3.069258512133993e-05,5021,,,,,,,,,,,,,
,,5021,0.0005906762089580297,6,,,,,,,,,,,
3.11877254110887e-05,3.11877254110887e-05,5102,,,,,,,,,,,,,
3.11877254110887e-05,3.11877254110887e-05,5102,,,,,,,,,,,,,
,,5102,0.0004965048283338547,6,,,,,,,,,,,
3.168286570083746e-05,3.168286570083746e-05,5183,,,,,,,,,,,,,
3.168286570083746e-05,3.168286570083746e-05,5183,,,,,,,,,,,,,
,,5183,0.0005439259693957865,6,,,,,,,,,,,
3.2178005990586224e-05,3.2178005990586224e-05,5264,,,,,,,,,,,,,
3.2178005990586224e-05,3.2178005990586224e-05,5264,,,,,,,,,,,,,
,,5264,0.0005075946100987494,6,,,,,,,,,,,
3.267314628033499e-05,3.267314628033499e-05,5345,,,,,,,,,,,,,
3.267314628033499e-05,3.267314628033499e-05,5345,,,,,,,,,,,,,
,,5345,0.00041779488674364984,6,,,,,,,,,,,
3.316828657008375e-05,3.316828657008375e-05,5426,,,,,,,,,,,,,
3.316828657008375e-05,3.316828657008375e-05,5426,,,,,,,,,,,,,
,,5426,0.0004883373039774597,6,,,,,,,,,,,
3.366342685983251e-05,3.366342685983251e-05,5507,,,,,,,,,,,,,
3.366342685983251e-05,3.366342685983251e-05,5507,,,,,,,,,,,,,
,,5507,0.0004898993065580726,6,,,,,,,,,,,
3.415856714958127e-05,3.415856714958127e-05,5588,,,,,,,,,,,,,
3.415856714958127e-05,3.415856714958127e-05,5588,,,,,,,,,,,,,
,,5588,0.0005462307017296553,6,,,,,,,,,,,
3.465370743933003e-05,3.465370743933003e-05,5669,,,,,,,,,,,,,
3.465370743933003e-05,3.465370743933003e-05,5669,,,,,,,,,,,,,
,,5669,0.00040542284841649234,6,,,,,,,,,,,
3.51488477290788e-05,3.51488477290788e-05,5750,,,,,,,,,,,,,
3.51488477290788e-05,3.51488477290788e-05,5750,,,,,,,,,,,,,
,,5750,0.0004561202949844301,7,,,,,,,,,,,
3.564398801882756e-05,3.564398801882756e-05,5831,,,,,,,,,,,,,
3.564398801882756e-05,3.564398801882756e-05,5831,,,,,,,,,,,,,
,,5831,0.0005455092759802938,7,,,,,,,,,,,
3.613912830857632e-05,3.613912830857632e-05,5912,,,,,,,,,,,,,
3.613912830857632e-05,3.613912830857632e-05,5912,,,,,,,,,,,,,
,,5912,0.00046006208867765963,7,,,,,,,,,,,
3.663426859832508e-05,3.663426859832508e-05,5993,,,,,,,,,,,,,
3.663426859832508e-05,3.663426859832508e-05,5993,,,,,,,,,,,,,
,,5993,0.0005033988854847848,7,,,,,,,,,,,
3.712940888807385e-05,3.712940888807385e-05,6074,,,,,,,,,,,,,
3.712940888807385e-05,3.712940888807385e-05,6074,,,,,,,,,,,,,
,,6074,0.00048466259613633156,7,,,,,,,,,,,
3.7624549177822607e-05,3.7624549177822607e-05,6155,,,,,,,,,,,,,
3.7624549177822607e-05,3.7624549177822607e-05,6155,,,,,,,,,,,,,
,,6155,0.0005057372036390007,7,,,,,,,,,,,
3.8119689467571366e-05,3.8119689467571366e-05,6236,,,,,,,,,,,,,
3.8119689467571366e-05,3.8119689467571366e-05,6236,,,,,,,,,,,,,
,,6236,0.0004527434357441962,7,,,,,,,,,,,
3.861482975732013e-05,3.861482975732013e-05,6317,,,,,,,,,,,,,
3.861482975732013e-05,3.861482975732013e-05,6317,,,,,,,,,,,,,
,,6317,0.0004607901209965348,7,,,,,,,,,,,
3.91099700470689e-05,3.91099700470689e-05,6398,,,,,,,,,,,,,
3.91099700470689e-05,3.91099700470689e-05,6398,,,,,,,,,,,,,
,,6398,0.0004788243677467108,7,,,,,,,,,,,
3.9605110336817656e-05,3.9605110336817656e-05,6479,,,,,,,,,,,,,
3.9605110336817656e-05,3.9605110336817656e-05,6479,,,,,,,,,,,,,
,,6479,0.0004094272153452039,7,,,,,,,,,,,
4.0100250626566415e-05,4.0100250626566415e-05,6560,,,,,,,,,,,,,
4.0100250626566415e-05,4.0100250626566415e-05,6560,,,,,,,,,,,,,
,,6560,0.0005320309428498149,8,,,,,,,,,,,
4.059539091631518e-05,4.059539091631518e-05,6641,,,,,,,,,,,,,
4.059539091631518e-05,4.059539091631518e-05,6641,,,,,,,,,,,,,
,,6641,0.00043082688353024423,8,,,,,,,,,,,
4.109053120606394e-05,4.109053120606394e-05,6722,,,,,,,,,,,,,
4.109053120606394e-05,4.109053120606394e-05,6722,,,,,,,,,,,,,
,,6722,0.00044505903497338295,8,,,,,,,,,,,
4.1585671495812706e-05,4.1585671495812706e-05,6803,,,,,,,,,,,,,
4.1585671495812706e-05,4.1585671495812706e-05,6803,,,,,,,,,,,,,
,,6803,0.00048819941002875566,8,,,,,,,,,,,
4.208081178556147e-05,4.208081178556147e-05,6884,,,,,,,,,,,,,
4.208081178556147e-05,4.208081178556147e-05,6884,,,,,,,,,,,,,
,,6884,0.0004395044525153935,8,,,,,,,,,,,
4.257595207531023e-05,4.257595207531023e-05,6965,,,,,,,,,,,,,
4.257595207531023e-05,4.257595207531023e-05,6965,,,,,,,,,,,,,
,,6965,0.0005137312691658735,8,,,,,,,,,,,
4.307109236505899e-05,4.307109236505899e-05,7046,,,,,,,,,,,,,
4.307109236505899e-05,4.307109236505899e-05,7046,,,,,,,,,,,,,
,,7046,0.0005058867973275483,8,,,,,,,,,,,
4.3566232654807755e-05,4.3566232654807755e-05,7127,,,,,,,,,,,,,
4.3566232654807755e-05,4.3566232654807755e-05,7127,,,,,,,,,,,,,
,,7127,0.00047274239477701485,8,,,,,,,,,,,
4.4061372944556514e-05,4.4061372944556514e-05,7208,,,,,,,,,,,,,
4.4061372944556514e-05,4.4061372944556514e-05,7208,,,,,,,,,,,,,
,,7208,0.0004523340903688222,8,,,,,,,,,,,
4.455651323430527e-05,4.455651323430527e-05,7289,,,,,,,,,,,,,
4.455651323430527e-05,4.455651323430527e-05,7289,,,,,,,,,,,,,
,,7289,0.0005468379822559655,8,,,,,,,,,,,
4.505165352405404e-05,4.505165352405404e-05,7370,,,,,,,,,,,,,
4.505165352405404e-05,4.505165352405404e-05,7370,,,,,,,,,,,,,
,,7370,0.0004660713893827051,9,,,,,,,,,,,
4.5546793813802804e-05,4.5546793813802804e-05,7451,,,,,,,,,,,,,
