lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_mse_step,valid_mae_step,valid_ssim_step,valid_loss_epoch,valid_mse_epoch,valid_mae_epoch,valid_ssim_epoch,test_mse_step,test_mae_step,test_ssim_step,test_mse_epoch,test_mae_epoch,test_ssim_epoch
,,28,,,56.5327033996582,143.14825439453125,0.422003835439682,,,,,,,,,,
,,29,,,43.237510681152344,124.24098205566406,0.47588247060775757,,,,,,,,,,
,,30,,,58.43902587890625,140.1969451904297,0.4905393719673157,,,,,,,,,,
,,31,,,55.37708282470703,140.7025604248047,0.4628996253013611,,,,,,,,,,
,,32,,,52.04583740234375,141.6059112548828,0.40343132615089417,,,,,,,,,,
,,33,,,52.1973991394043,132.075439453125,0.5139530897140503,,,,,,,,,,
,,34,,,47.259368896484375,127.36732482910156,0.48638492822647095,,,,,,,,,,
,,35,,,49.64427947998047,130.78457641601562,0.48413190245628357,,,,,,,,,,
,,36,,,44.52815246582031,126.1173324584961,0.46638599038124084,,,,,,,,,,
,,37,,,54.4830436706543,138.35623168945312,0.4503616392612457,,,,,,,,,,
,,38,,,57.874473571777344,143.55661010742188,0.4406247138977051,,,,,,,,,,
,,39,,,32.77621841430664,103.932861328125,0.5181131362915039,,,,,,,,,,
,,40,,,57.2259635925293,140.7655487060547,0.4811466336250305,,,,,,,,,,
,,41,,,45.22454071044922,121.07252502441406,0.5117216110229492,,,,,,,,,,
,,42,,,52.25908279418945,134.35867309570312,0.4863809645175934,,,,,,,,,,
,,43,,,50.63331985473633,133.78079223632812,0.45102357864379883,,,,,,,,,,
,,44,,,70.40702819824219,174.86187744140625,0.364565908908844,,,,,,,,,,
,,45,,,55.169647216796875,138.5495147705078,0.45457959175109863,,,,,,,,,,
,,46,,,55.55292892456055,141.90756225585938,0.4554879665374756,,,,,,,,,,
,,47,,,55.1306037902832,142.82467651367188,0.45117101073265076,,,,,,,,,,
,,48,,,61.30010223388672,151.43533325195312,0.4397090971469879,,,,,,,,,,
,,49,,,43.51527404785156,118.2165298461914,0.5361372828483582,,,,,,,,,,
,,50,,,57.10505294799805,151.1039581298828,0.40223628282546997,,,,,,,,,,
,,51,,,65.05240631103516,154.66751098632812,0.42067939043045044,,,,,,,,,,
,,52,,,46.82722854614258,126.81956481933594,0.5009491443634033,,,,,,,,,,
,,53,,,41.97974395751953,117.2696762084961,0.49151068925857544,,,,,,,,,,
,,54,,,53.30615234375,135.96383666992188,0.4737628996372223,,,,,,,,,,
,,55,,,36.91356658935547,108.60174560546875,0.5138810276985168,,,,,,,,,,
,,56,,,56.94361114501953,140.2335968017578,0.4777767062187195,,,,,,,,,,
,,57,,,61.85057830810547,153.26712036132812,0.45455875992774963,,,,,,,,,,
,,58,,,50.50205993652344,135.82144165039062,0.4863037168979645,,,,,,,,,,
,,59,,,42.254844665527344,120.61531066894531,0.4964854121208191,,,,,,,,,,
,,60,,,74.74375915527344,170.86007690429688,0.4036892056465149,,,,,,,,,,
,,61,,,52.8282356262207,136.8702392578125,0.48288431763648987,,,,,,,,,,
,,62,,,66.24718475341797,155.10809326171875,0.44264984130859375,,,,,,,,,,
,,63,,,48.793270111083984,128.93328857421875,0.49421659111976624,,,,,,,,,,
,,64,,,49.59478759765625,128.90469360351562,0.4984869062900543,,,,,,,,,,
,,65,,,48.41608428955078,125.95890808105469,0.4901353418827057,,,,,,,,,,
,,66,,,60.8451042175293,149.2200927734375,0.45117050409317017,,,,,,,,,,
,,67,,,60.058685302734375,145.64413452148438,0.47436410188674927,,,,,,,,,,
,,68,,,52.58104705810547,125.99072265625,0.5362915992736816,,,,,,,,,,
,,69,,,53.38383865356445,144.19839477539062,0.43870845437049866,,,,,,,,,,
,,70,,,58.1738395690918,145.5384979248047,0.4555550515651703,,,,,,,,,,
,,71,,,52.39500045776367,141.1040496826172,0.45488056540489197,,,,,,,,,,
,,72,,,53.6054801940918,145.81800842285156,0.4275517463684082,,,,,,,,,,
,,73,,,49.80364990234375,127.05134582519531,0.4960407614707947,,,,,,,,,,
,,74,,,57.64409255981445,140.8761444091797,0.5019679069519043,,,,,,,,,,
,,75,,,49.386268615722656,128.72021484375,0.4661664366722107,,,,,,,,,,
,,76,,,60.00328826904297,142.4507293701172,0.47446948289871216,,,,,,,,,,
,,77,,,53.23237228393555,142.75794982910156,0.4558544158935547,,,,,,,,,,
